股票代号,股票名,最高,今开,涨停,成交量,最低,昨收,跌停,成交额,量比,换手,市盈率(动),市盈率(TTM),委比,振幅,市盈率(静),市净率,每股收益,股息(TTM),总股本,总市值,每股净资产,股息率(TTM),流通股,流通值,52周最高,52周最低,货币单位
SZ002952,亚世光电,24.40,24.28,26.95,9035手,23.52,24.50,22.05,2166.54万,0.68,1.30%,45.28,34.68,-33.05%,3.59%,32.18,3.24,0.69,0.39,1.10亿,26.14亿,7.37,1.64%,6941.10万,16.56亿,50.28,21.65,CNY
SH600543,莫高股份,5.30,5.27,5.85,46903手,5.13,5.32,4.79,2447.38万,0.85,1.46%,亏损,207.93,-10.82%,3.20%,60.41,1.41,0.02,0.03,3.21亿,16.57亿,3.65,0.50%,3.21亿,16.57亿,7.79,4.65,CNY
SZ000816,ST慧业,1.26,1.21,1.26,16.52万手,1.20,1.20,1.14,2046.01万,1.25,1.24%,100.99,亏损,-15.51%,5.00%,亏损,0.81,-0.68,0.00,14.19亿,17.59亿,1.53,0.00%,13.36亿,16.57亿,2.01,1.17,CNY
SH600193,ST创兴,3.91,3.89,4.08,17453手,3.87,3.89,3.70,679.05万,1.12,0.41%,亏损,98.64,-8.45%,1.03%,86.54,7.22,0.04,0.00,4.25亿,16.59亿,0.54,0.00%,4.25亿,16.59亿,4.09,2.97,CNY
SH600821,*ST劝业,4.09,3.98,4.17,37139手,3.87,3.97,3.77,1475.02万,0.64,0.89%,亏损,亏损,-78.80%,5.54%,亏损,-99.75,-0.51,0.00,4.16亿,16.61亿,-0.04,0.00%,4.16亿,16.61亿,6.38,3.34,CNY
SH603739,蔚蓝生物,22.83,22.33,24.67,13961手,22.21,22.43,20.19,3139.73万,0.72,1.88%,39.59,38.77,-66.87%,2.76%,44.46,3.51,0.58,0.20,1.55亿,34.57亿,6.36,0.90%,7437.60万,16.62亿,42.76,20.00,CNY
SZ000409,ST地矿,4.19,4.19,4.39,28501手,4.06,4.18,3.97,1168.23万,0.96,0.70%,亏损,亏损,-22.36%,3.11%,亏损,4.10,-0.83,0.00,5.11亿,20.95亿,1.00,0.00%,4.06亿,16.63亿,6.20,3.91,CNY
SZ300374,恒通科技,9.90,9.74,10.59,29840手,9.53,9.63,8.67,2906.09万,0.74,1.75%,312.50,39.28,-6.81%,3.84%,35.65,1.57,0.25,0.03,2.46亿,24.00亿,6.23,0.31%,1.70亿,16.63亿,12.25,7.30,CNY
SH603356,华菱精工,18.49,18.36,20.21,16925手,18.22,18.37,16.53,3106.26万,1.12,1.88%,191.80,41.16,-12.61%,1.47%,35.66,3.34,0.45,0.19,1.33亿,24.61亿,5.52,1.03%,9024.00万,16.66亿,18.70,11.01,CNY
SZ000755,山西路桥,3.62,3.58,3.94,21232手,3.53,3.58,3.22,757.19万,0.88,0.45%,亏损,90.53,44.18%,2.51%,11.12,1.52,0.04,0.00,4.69亿,16.66亿,2.33,0.00%,4.69亿,16.66亿,4.63,3.43,CNY
SZ000701,厦门信达,4.17,4.15,4.57,30539手,4.06,4.15,3.74,1250.60万,1.13,0.75%,247.69,亏损,34.40%,2.65%,亏损,8.91,-6.13,0.00,4.07亿,16.67亿,0.46,0.00%,4.07亿,16.67亿,7.00,3.67,CNY
SZ002316,亚联发展,5.81,5.78,6.36,38986手,5.65,5.78,5.20,2235.35万,0.60,1.33%,亏损,亏损,14.46%,2.77%,亏损,3.25,-0.50,0.00,3.93亿,22.37亿,1.75,0.00%,2.93亿,16.69亿,13.63,5.65,CNY
SZ002259,*ST升达,2.30,2.25,2.31,27307手,2.20,2.20,2.09,613.99万,1.02,0.36%,亏损,亏损,-4.38%,4.55%,亏损,7.66,-1.68,0.00,7.52亿,16.70亿,0.29,0.00%,7.52亿,16.70亿,2.85,1.73,CNY
SZ002490,山东墨龙,3.13,3.11,3.42,31417手,3.06,3.11,2.80,971.14万,0.99,0.58%,亏损,亏损,9.69%,2.25%,亏损,1.47,-0.35,0.00,7.98亿,24.65亿,2.10,0.00%,5.42亿,16.74亿,4.93,2.87,CNY
SZ002753,永东股份,8.38,7.97,8.81,82056手,7.79,8.01,7.21,6647.95万,2.18,4.09%,44.09,36.16,12.04%,7.37%,34.44,1.72,0.23,0.04,3.75亿,31.35亿,4.86,0.48%,2.00亿,16.74亿,9.60,6.01,CNY
SZ002295,精艺股份,6.73,6.53,7.28,12533手,6.51,6.62,5.96,829.27万,1.57,0.50%,亏损,63.37,-65.82%,3.32%,32.92,1.43,0.11,0.06,2.51亿,16.79亿,4.69,0.90%,2.50亿,16.76亿,9.16,5.70,CNY
SZ300584,海辰药业,23.14,23.11,25.32,5613手,22.33,23.02,20.72,1272.08万,1.39,0.76%,39.55,29.47,22.69%,3.52%,27.92,4.04,0.77,0.25,1.20亿,27.16亿,5.60,1.10%,7420.34万,16.79亿,37.46,21.28,CNY
SH600175,*ST美都,0.47,0.47,0.51,24856手,0.47,0.49,0.47,116.82万,1.28,0.07%,2.52,亏损,-100.00%,0.00%,亏损,0.18,-0.16,0.00,35.76亿,16.81亿,2.57,0.00%,35.76亿,16.81亿,2.98,0.47,CNY
SZ002843,泰嘉股份,8.02,8.00,8.83,17894手,7.68,8.03,7.23,1419.14万,1.00,0.85%,40.82,30.18,-41.99%,4.23%,27.24,2.81,0.27,0.30,2.10亿,16.82亿,2.85,3.75%,2.10亿,16.82亿,10.99,6.36,CNY
SZ002955,鸿合科技,50.19,50.00,54.89,9424手,49.00,49.90,44.91,4650.11万,0.78,2.75%,亏损,27.52,28.38%,2.38%,21.76,2.37,1.79,0.00,1.39亿,68.36亿,20.72,0.00%,3430.95万,16.86亿,85.55,46.10,CNY
SZ300040,九洲电气,7.19,7.18,7.82,45.14万手,6.60,7.11,6.40,3.08亿,2.81,18.17%,36.69,57.78,39.71%,8.30%,46.28,1.19,0.12,0.05,3.43亿,23.29亿,5.71,0.74%,2.48亿,16.87亿,8.10,4.51,CNY
SZ300534,陇神戎发,5.82,5.70,6.26,33832手,5.57,5.69,5.12,1925.53万,1.36,1.13%,2045.35,271.42,9.47%,4.39%,133.90,2.34,0.02,0.01,3.03亿,17.11亿,2.41,0.18%,2.99亿,16.88亿,7.50,5.30,CNY
SZ002357,富临运业,5.49,5.48,5.93,24415手,5.35,5.39,4.85,1319.70万,1.05,0.78%,13.95,23.69,-76.73%,2.60%,20.18,1.40,0.23,0.00,3.13亿,16.90亿,3.86,0.00%,3.13亿,16.88亿,7.14,4.71,CNY
SZ300228,富瑞特装,4.03,4.00,4.39,70209手,3.88,3.99,3.59,2780.94万,0.74,1.67%,119.19,亏损,0.59%,3.76%,亏损,1.34,-0.69,0.00,4.73亿,19.00亿,3.00,0.00%,4.20亿,16.89亿,6.60,3.50,CNY
SZ000833,粤桂股份,4.54,4.54,5.03,43018手,4.45,4.57,4.11,1928.65万,1.00,1.14%,亏损,63.35,25.57%,1.97%,35.98,1.08,0.07,0.01,6.68亿,29.88亿,4.15,0.34%,3.78亿,16.90亿,6.41,4.23,CNY
SZ300370,安控科技,2.42,2.33,2.57,28.81万手,2.28,2.34,2.11,6792.39万,0.75,3.99%,亏损,亏损,25.02%,5.98%,557.49,2.72,-0.05,0.00,9.57亿,22.40亿,0.86,0.00%,7.22亿,16.91亿,5.00,2.28,CNY
SH600408,ST安泰,1.75,1.71,1.80,70916手,1.66,1.71,1.62,1209.90万,0.90,0.70%,亏损,3.95,-15.48%,5.26%,3.70,0.87,0.43,0.00,10.07亿,16.91亿,1.93,0.00%,10.07亿,16.91亿,2.73,1.63,CNY
SZ300330,华虹计通,10.36,10.15,11.13,12.00万手,9.93,10.12,9.11,1.22亿,1.02,7.15%,3541.69,328.81,-70.38%,4.25%,331.32,4.55,0.03,0.00,1.68亿,16.97亿,2.22,0.00%,1.68亿,16.94亿,13.07,7.74,CNY
SZ300153,科泰电源,5.48,5.48,5.97,30188手,5.26,5.43,4.89,1615.77万,0.99,0.95%,亏损,亏损,-90.13%,4.05%,517.50,1.85,-0.03,0.03,3.20亿,17.09亿,2.88,0.56%,3.17亿,16.95亿,8.66,4.86,CNY
SH603042,华脉科技,17.85,17.70,19.47,80946手,16.55,17.70,15.93,1.38亿,0.86,8.01%,亏损,120.80,49.39%,7.34%,96.46,2.87,0.14,0.05,1.36亿,22.82亿,5.84,0.32%,1.01亿,16.95亿,29.68,12.29,CNY
SH603185,上机数控,29.60,29.49,32.31,22616手,28.42,29.37,26.43,6566.36万,0.78,3.89%,26.95,32.83,16.31%,4.02%,36.45,3.81,0.89,0.25,2.32亿,67.55亿,7.65,0.84%,5820.36万,16.95亿,40.51,17.03,CNY
SZ002983,芯瑞达,50.60,50.20,56.63,11.10万手,47.45,51.48,46.33,5.45亿,0.57,31.33%,118.14,71.83,41.40%,6.12%,72.56,7.11,0.67,--,1.42亿,67.85亿,6.74,--,3542.00万,16.96亿,53.78,15.56,CNY
SZ300447,全信股份,9.83,9.65,10.69,16607手,9.63,9.72,8.75,1614.95万,0.58,0.95%,62.67,22.82,-45.69%,2.06%,20.64,2.57,0.43,0.00,2.91亿,28.29亿,3.78,0.00%,1.75亿,16.97亿,14.80,7.95,CNY
SH600257,大湖股份,3.66,3.65,3.99,53114手,3.53,3.63,3.27,1905.33万,0.85,1.10%,87.55,亏损,-13.21%,3.58%,亏损,1.46,-0.28,0.00,4.81亿,17.04亿,2.42,0.00%,4.81亿,17.04亿,5.42,3.21,CNY
SZ002728,特一药业,13.68,13.65,15.05,6564手,13.29,13.68,12.31,883.74万,1.06,0.52%,29.76,17.66,25.15%,2.85%,15.89,2.36,0.76,0.75,2.04亿,27.29亿,5.69,5.59%,1.27亿,17.04亿,17.99,13.20,CNY
SZ000757,浩物股份,3.81,3.75,4.13,57428手,3.69,3.75,3.38,2155.95万,2.46,1.27%,亏损,19.29,-43.74%,3.20%,18.01,1.56,0.20,0.00,6.65亿,25.13亿,2.43,0.00%,4.52亿,17.07亿,5.19,3.69,CNY
SZ002771,真视通,13.29,13.09,14.31,49613手,12.71,13.01,11.71,6462.52万,0.73,3.79%,752.62,81.47,-3.65%,4.46%,79.89,4.01,0.16,0.03,2.10亿,27.43亿,3.26,0.27%,1.31亿,17.10亿,19.42,9.23,CNY
SZ300830,金现代,19.91,19.91,19.91,10182手,19.91,18.10,16.29,2027.43万,1.67,1.18%,9746.93,94.23,100.00%,0.00%,95.42,8.23,0.21,0.00,4.30亿,85.64亿,2.42,0.00%,8602.50万,17.13亿,19.91,5.28,CNY
